id,name,signup_date,state
1,Customer_1,2023-01-01,NY
2,Customer_2,2023-01-12,FL
3,Customer_3,2023-01-24,TX
4,Customer_4,2023-02-05,FL
5,Customer_5,2023-02-17,FL
6,Customer_6,2023-02-28,CA
7,Customer_7,2023-03-12,TX
8,Customer_8,2023-03-24,TX
9,Customer_9,2023-04-05,TX
10,Customer_10,2023-04-17,FL
11,Customer_11,2023-04-28,NY
12,Customer_12,2023-05-10,TX
13,Customer_13,2023-05-22,FL
14,Customer_14,2023-06-03,CA
15,Customer_15,2023-06-15,NY
16,Customer_16,2023-06-26,CA
17,Customer_17,2023-07-08,NY
18,Customer_18,2023-07-20,FL
19,Customer_19,2023-08-01,IL
20,Customer_20,2023-08-13,NY
21,Customer_21,2023-08-24,CA
22,Customer_22,2023-09-05,FL
23,Customer_23,2023-09-17,NY
24,Customer_24,2023-09-29,IL
25,Customer_25,2023-10-11,IL
26,Customer_26,2023-10-22,TX
27,Customer_27,2023-11-03,TX
28,Customer_28,2023-11-15,CA
29,Customer_29,2023-11-27,NY
30,Customer_30,2023-12-09,NY
31,Customer_31,2023-12-20,TX
32,Customer_32,2024-01-01,NY
33,Customer_33,2024-01-13,NY
34,Customer_34,2024-01-25,IL
35,Customer_35,2024-02-06,TX
36,Customer_36,2024-02-17,FL
37,Customer_37,2024-02-29,TX
38,Customer_38,2024-03-12,FL
39,Customer_39,2024-03-24,IL
40,Customer_40,2024-04-05,CA
41,Customer_41,2024-04-16,NY
42,Customer_42,2024-04-28,IL
43,Customer_43,2024-05-10,NY
44,Customer_44,2024-05-22,CA
45,Customer_45,2024-06-03,CA
46,Customer_46,2024-06-14,IL
47,Customer_47,2024-06-26,CA
48,Customer_48,2024-07-08,FL
49,Customer_49,2024-07-20,CA
50,Customer_50,2024-08-01,NY
